"","Control 1 (SRR5074528)","Control 2 (SRR5074529)"," Organophosphate 1 (SRR5074530)","Organophosphate 2 (SRR5074531)","Taxonomy"
"335283",1,0,0,0,"Nitrosomonas eutropha C91"
"335929",1,0,1,1,"Erythrobacteraceae"
"338966",1,1,1,0,"Pelobacter propionicus DSM 2379"
"338969",0,1,0,1,"Rhodoferax ferrireducens T118"
"339671",1,0,0,0,"Actinobacillus succinogenes 130Z"
"340146",1,0,0,0,"Exiguobacterium mexicanum"
"342108",0,0,1,1,"Magnetospirillum magneticum AMB-1"
"343509",0,0,1,0,"Sodalis glossinidius str. morsitans"
"345632",0,0,1,1,"Geobacter pickeringii"
"347534",0,0,1,1,"Zobellella denitrificans"
"349215",0,0,1,0,"Micavibrio aeruginosavorus EPB"
"349520",1,0,0,0,"Paenibacillus polymyxa E681"
"351607",0,0,1,0,"Acidothermus cellulolyticus 11B"
"352858",0,0,1,0,"Bacillus sp. Y1"
"353852",0,0,1,0,"Mycoplasma nasistruthionis"
"354276",1,0,0,1,"Enterobacter cloacae complex"
"356322",1,1,1,0,"Heliorestis convoluta"
"356852",0,0,1,0,"Micromonospora coxensis"
"357804",0,0,0,1,"Psychromonas ingrahamii 37"
"358220",0,0,1,0,"Acidovorax sp. KKS102"
"358681",0,0,1,0,"Brevibacillus brevis NBRC 100599"
"362257",0,0,1,0,"Streptomyces vietnamensis"
"363835",1,0,1,1,"Sphingomonas ginsengisoli An et al. 2013"
"364197",0,1,1,1,"Pseudomonas pohangensis"
"364410",0,1,0,1,"Granulibacter bethesdensis"
"365348",1,1,0,1,"Pelosinus"
"366522",0,0,1,0,"Sulfurospirillum cavolei"
"366602",0,0,1,0,"Caulobacter sp. K31"
"371601",1,0,1,1,"Bacteroides xylanisolvens"
"373994",0,0,1,1,"Rivularia sp. PCC 7116"
"374606",0,0,0,1,"Aminobacter sp. MSH1"
"375175",1,0,1,0,"Lactobacillus backii"
"375286",0,0,1,0,"Janthinobacterium sp. Marseille"
"376174",1,1,1,0,"Labrys neptuniae"
"376489",0,0,1,0,"Halotalea alkalilenta"
"377629",0,1,1,1,"Teredinibacter turnerae T7901"
"378806",1,0,1,0,"Stigmatella aurantiaca DW4/3-1"
"379347",0,1,0,0,"Epibacterium mobile"
"379899",1,0,0,0,"Niabella"
"381764",0,1,1,0,"Fervidobacterium nodosum Rt17-B1"
"386490",0,0,1,0,"Terribacillus goriensis"
"387092",0,1,1,0,"Nitratiruptor sp. SB155-2"
"387093",0,0,1,0,"Sulfurovum sp. NBC37-1"
"388357",1,0,1,0,"Kocuria turfanensis"
"388467",1,0,1,0,"Planktothrix agardhii NIVA-CYA 126/8"
"388950",0,0,1,0,"Pontibacter akesuensis"
"390846",0,1,1,1,"Echinicola"
"391038",0,0,1,0,"Paraburkholderia phymatum STM815"
"391290",0,0,0,1,"Geobacillus sp. E263"
"391592",1,0,0,0,"Caminibacter mediatlanticus TB-2"
"391774",0,0,1,0,"Desulfovibrio vulgaris DP4"
"391905",1,0,0,0,"Methylocystis heyeri"
"392733",0,0,1,0,"Terriglobus"
"393921",1,0,1,1,"Porphyromonas crevioricanis"
"394503",1,0,1,1,"Ruminiclostridium cellulolyticum H10"
"394958",1,0,1,1,"Clostridium taeniosporum"
"395492",0,0,1,0,"Rhizobium leguminosarum bv. trifolii WSM2304"
"395494",0,0,1,0,"Gallionella capsiferriformans ES-2"
"395495",0,0,1,0,"Leptothrix cholodnii SP-6"
"395961",1,0,0,0,"Cyanothece sp. PCC 7425"
"396595",0,1,0,0,"Thioalkalivibrio sp. K90mix"
"398041",1,0,0,0,"Flavisolibacter"
"398053",0,0,1,0,"Mucilaginibacter ginsenosidivorans"
"398511",1,0,0,0,"Bacillus pseudofirmus OF4"
"398580",0,0,1,0,"Dinoroseobacter shibae DFL 12 = DSM 16493"
"399497",0,0,1,0,"Tessaracoccus flavescens"
"399742",0,0,1,0,"Enterobacter sp. 638"
"400065",1,0,0,0,"Streptococcus merionis"
"400634",1,0,1,1,"Lysinibacillus"
"400668",1,0,0,0,"Marinomonas sp. MWYL1"
"401053",1,0,0,0,"Terriglobus saanensis SP1PR4"
"401471",0,0,1,0,"Undibacterium parvum"
"401472",1,0,0,0,"Corynebacterium ureicelerivorans"
"402384",1,1,0,0,"Halobacillus mangrovi"
"402626",0,0,1,0,"Ralstonia pickettii 12J"
"402880",0,0,1,0,"Methanococcus maripaludis C5"
"403957",1,0,0,0,"Virgibacillus sp. SK37"
"404380",0,1,0,0,"Geobacter bemidjiensis Bem"
"405948",1,0,0,0,"Saccharopolyspora erythraea NRRL 2338"
"406548",1,0,1,0,"Aquisphaera giovannonii"
"406818",0,0,1,0,"Xenorhabdus bovienii SS-2004"
"407035",1,0,1,0,"Salinicoccus halodurans"
"407217",0,0,1,0,"Aquitalea"
"408139",0,0,1,0,"Leptospira kmetyi"
"411154",1,0,0,0,"Gramella forsetii KT0803"
"411684",0,0,1,0,"Hoeflea phototrophica DFL-43"
"412690",1,0,1,1,"Microterricola viridarii"
"413882",1,0,0,0,"[Polyangium] brachysporum"
"414684",0,0,0,1,"Rhodospirillum centenum SW"
"414771",0,0,1,0,"Paenibacillus donghaensis"
"414778",0,0,1,0,"Planococcus donghaensis"
"414996",1,0,1,1,"Actinopolyspora erythraea"
"417367",0,0,0,1,"Paenisporosarcina antarctica"
"417368",1,0,0,0,"Enterococcus thailandicus"
"419475",0,0,0,1,"Ochrobactrum pseudogrignonense"
"420953",0,0,1,0,"Paraburkholderia megapolitana"
"421767",1,0,1,0,"Bacillus butanolivorans"
"424720",0,0,0,1,"Shigella flexneri Y"
"427140",1,0,0,0,"Leuconostoc mesenteroides KFRI-MG"
"428411",0,0,1,0,"Candidatus Riesia pediculischaeffi"
"434010",0,0,0,1,"Hydrogenophaga sp. PBL-H3"
"435591",0,1,1,1,"Parabacteroides distasonis ATCC 8503"
"437900",0,0,1,0,"Pseudomonas marincola"
"439292",1,0,0,1,"[Bacillus] selenitireducens MLS10"
"441209",1,0,0,0,"Rhodobaca barguzinensis"
"441500",1,1,1,0,"Corynebacterium timonense"
"441772",1,0,0,0,"Clostridium botulinum F str. Langeland"
"443144",0,0,1,0,"Geobacter sp. M21"
"443156",0,0,1,1,"Phycicoccus dokdonensis"
"443218",0,0,1,0,"Hoyosella subflava DQS3-9A1"
"444177",0,0,1,0,"Lysinibacillus sphaericus C3-41"
"445709",0,0,1,0,"Pandoraea thiooxydans"
"446465",0,0,0,1,"Brachybacterium faecium DSM 4810"
"446471",0,0,1,0,"Xylanimonas cellulosilytica DSM 15894"
"446692",0,0,1,0,"Acetobacter senegalensis"
"446860",1,0,1,0,"Kocuria flava"
"450367",0,0,1,0,"[Brevibacterium] frigoritolerans"
"450851",1,0,1,0,"Phenylobacterium zucineum HLK1"
"452471",1,1,1,0,"Candidatus Amoebophilus asiaticus 5a2"
"452637",0,1,1,0,"Opitutus terrae PB90-1"
"452863",1,0,0,0,"Pseudarthrobacter chlorophenolicus A6"
"453304",1,0,0,0,"Agromyces aureus"
"455432",1,0,0,0,"Nocardia terpenica"
"456320",0,0,1,0,"Methanococcus voltae A3"
"459349",0,0,1,0,"Candidatus Cloacimonas acidaminovorans str. Evry"
"459526",1,0,0,0,"Flavobacterium anhuiense"
"459786",1,0,1,0,"Oscillibacter"
"463014",0,0,1,0,"Bordetella flabilis"
"463025",0,0,1,1,"Bordetella bronchialis"
"465721",1,1,0,0,"Steroidobacter denitrificans"
"469371",0,1,1,0,"Thermobispora bispora DSM 43833"
"469378",1,1,1,0,"Cryptobacterium curtum DSM 15641"
"469383",1,0,0,1,"Conexibacter woesei DSM 14684"
"469615",1,0,0,0,"Fusobacterium gonidiaformans ATCC 25563"
"469616",1,0,0,0,"Fusobacterium mortiferum ATCC 9817"
"469617",1,0,0,0,"Fusobacterium ulcerans ATCC 49185"
"470934",0,0,1,0,"Pantoea vagans"
"471223",0,0,1,0,"Geobacillus sp. WCH70"
"471854",1,0,1,0,"Dyadobacter fermentans DSM 18053"
"472175",1,0,0,1,"Nitratireductor basaltis"
"472181",1,0,1,0,"Pseudomonas sabulinigri"
"472569",0,0,1,0,"Devriesea agamarum"
"472759",0,0,0,1,"Nitrosococcus halophilus Nc 4"
"472834",0,0,1,0,"Candidatus Purcelliella pentastirinorum"
"473814",1,0,1,0,"unclassified Planctomycetes"
"476157",0,0,1,1,"Altererythrobacter ishigakiensis"
"477641",1,0,1,0,"Modestobacter marinus"
"478070",0,0,1,0,"Labrenzia"
"478801",1,0,1,0,"Kytococcus sedentarius DSM 20547"
"479431",1,0,1,0,"Nakamurella multipartita DSM 44233"
"479432",0,0,1,1,"Streptosporangium roseum DSM 43021"
"479435",0,0,1,0,"Kribbella flavida DSM 17836"
"479437",0,0,1,1,"Eggerthella lenta DSM 2243"
"479831",0,0,1,0,"Clostridioides difficile QCD-63q42"
"481743",0,0,1,0,"Paenibacillus sp. Y412MC10"
"482957",1,0,1,0,"Burkholderia lata"
"484019",0,0,1,0,"Thermosipho africanus TCF52B"
"484770",1,0,1,1,"Pelosinus sp. UFO1"
"485915",1,0,1,1,"Desulfohalobium retbaense DSM 5692"
"485917",0,0,1,0,"Pedobacter heparinus DSM 2366"
"485918",1,0,1,0,"Chitinophaga pinensis DSM 2588"
"486398",0,0,1,0,"Bacillus sp. S3"
"486410",0,0,1,0,"Streptococcus dysgalactiae subsp. equisimilis GGS_124"
"487214",0,0,1,0,"Streptococcus pneumoniae Hungary19A-6"
"488538",1,0,0,0,"Candidatus Puniceispirillum marinum IMCC1322"
"488545",1,0,1,0,"Campylobacter lari subsp. concheus"
"488731",0,0,1,0,"Burkholderia seminalis"
"491077",0,0,1,0,"Lactobacillus reuteri SD2112"
"491915",0,1,1,1,"Anoxybacillus flavithermus WK1"
"491952",1,0,0,0,"Marinomonas posidonica IVIA-Po-181"
"492670",0,1,0,0,"Bacillus velezensis"
"496014",1,0,1,0,"Baekduia soli"
"496057",0,0,1,0,"Arachidicoccus ginsenosidivorans"
"497724",0,0,1,0,"Campylobacter subantarcticus"
"497726",0,0,1,0,"Nitrososphaera"
"497965",0,0,1,0,"Gloeothece verrucosa PCC 7822"
"498213",0,0,1,0,"Clostridium botulinum B1 str. Okra"
"498848",0,0,1,0,"Thermus aquaticus Y51MC23"
"499174",0,0,1,0,"Clostridioides difficile QCD-23m63"
"502025",0,1,0,0,"Haliangium ochraceum DSM 14365"
"504728",0,0,1,0,"Meiothermus ruber DSM 1279"
"505249",0,0,1,0,"Arcobacter marinus"
"511062",1,0,1,0,"Oceanimonas sp. GK1"
"511435",1,1,1,0,"Candidatus Azobacteroides pseudotrichonymphae"
"511745",0,1,1,0,"Methylacidiphilum"
"511995",0,0,1,0,"Candidatus Azobacteroides pseudotrichonymphae genomovar. CFP2"
"515393",0,0,1,0,"Pseudomonas yamanorum"
"517418",0,0,1,0,"Chloroherpeton thalassium ATCC 35110"
"518635",0,1,1,1,"Bifidobacterium angulatum DSM 20098 = JCM 7096"
"519081",0,1,0,0,"Aquitalea denitrificans"
"519472",1,0,1,0,"Vagococcus teuberi"
"521011",0,0,1,0,"Methanosphaerula palustris E1-9c"
"521095",1,0,1,1,"Atopobium parvulum DSM 20469"
"521096",0,0,1,0,"Tsukamurella paurometabola DSM 20162"
"521097",0,0,1,0,"Capnocytophaga ochracea DSM 7271"
"521098",1,0,0,0,"Alicyclobacillus acidocaldarius subsp. acidocaldarius DSM 446"
"522484",0,0,0,1,"Campylobacter avium LMG 24591"
"523791",0,1,0,0,"Kangiella koreensis DSM 16069"
"525146",0,0,1,0,"Desulfovibrio desulfuricans ATCC 27774"
"525282",1,0,0,0,"Finegoldia magna ATCC 53516"
"525326",1,0,0,0,"Lactobacillus paragasseri JV-V03"
"525897",1,0,1,0,"Desulfomicrobium baculatum DSM 4028"
"525898",0,0,1,0,"Sulfurospirillum deleyianum DSM 6946"
"525903",1,1,1,0,"Thermanaerovibrio acidaminovorans DSM 6589"
"525904",1,0,1,1,"Thermobaculum terrenum ATCC BAA-798"
"526218",1,0,0,1,"Sebaldella termitidis ATCC 33386"
"526224",1,0,0,1,"Brachyspira murdochii DSM 12563"
"526225",1,0,1,0,"Geodermatophilus obscurus DSM 43160"
"526227",1,0,1,0,"Meiothermus silvanus DSM 9946"
"526944",1,0,0,0,"Tetragenococcus osmophilus"
"526986",0,0,1,0,"Bacillus cereus Rock3-44"
"527021",1,0,0,0,"Bacillus thuringiensis Bt407"
"528191",0,0,1,0,"Paenibacillus xylanexedens"
"528244",1,1,1,0,"Azospirillum thiophilum"
"531844",0,0,1,0,"Flavobacteriaceae bacterium 3519-10"
"536227",0,0,1,0,"Clostridium carboxidivorans P7"
"538966",1,0,0,0,"Dyadobacter sp. 32"
"538999",1,0,1,0,"Clostridiales incertae sedis"
"540747",1,1,0,1,"Roseovarius indicus"
"543877",0,0,1,0,"Altererythrobacter marensis"
"544580",1,0,1,0,"Actinomyces oris"
"545612",0,0,1,0,"Bartonella sp. OE 1-1"
"545619",0,0,1,0,"Paraoerskovia marina"
"545694",0,0,1,0,"Treponema primitia ZAS-2"
"545695",0,0,1,1,"Treponema azotonutricium ZAS-9"
"546160",1,0,0,1,"Dietzia lutea"
"546414",1,0,0,0,"Deinococcus deserti VCD115"
"546874",1,0,1,1,"Friedmanniella sagamiharensis"
"548476",1,0,0,0,"Corynebacterium aurimucosum ATCC 700975"
"550540",0,0,1,0,"Ferrimonas balearica DSM 9799"
"551115",0,0,0,1,"Nostoc azollae0708"
"551989",1,0,0,0,"Kosakonia arachidis"
"552397",1,0,1,1,"unclassified Ruminococcaceae"
"552811",1,1,0,0,"Dehalogenimonas lykanthroporepellens BL-DC-9"
"553151",0,0,1,0,"Pseudomonas pelagia"
"553510",0,0,1,0,"Streptomyces gilvosporeus"
"553814",0,1,0,0,"Acidovorax carolinensis"
"555079",1,0,1,1,"Thermosediminibacter oceani DSM 16646"
"556053",1,0,0,0,"Polynucleobacter acidiphobus"
"556054",0,0,1,1,"Polynucleobacter difficilis"
"556288",0,0,1,1,"Brachybacterium saurashtrense"
"556325",0,0,1,1,"Neomicrococcus aestuarii"
"556499",0,0,1,0,"Propionibacterium acidifaciens"
"557598",0,0,1,0,"Laribacter hongkongensis HLHK9"
"558173",1,0,0,1,"Corynebacterium doosanense CAU 212 = DSM 45436"
"561061",1,0,0,0,"Sphingobacterium psychroaquaticum"
"561879",1,0,1,0,"Bacillus safensis"
"562959",1,1,1,0,"Paenibacillus cellulositrophicus"
"563040",0,0,1,0,"Sulfurimonas autotrophica DSM 16294"
"563835",1,1,1,0,"Chitinophagaceae"
"565033",0,0,1,0,"Geoglobus acetivorans"
"565034",1,0,0,0,"Brachyspira hyodysenteriae WA1"
"568766",0,0,1,0,"Dickeya sp. NCPPB 3274"
"568768",0,0,1,0,"Dickeya sp. NCPPB 569"
"568816",0,0,1,0,"Acidaminococcus intestini RyC-MR95"
"570277",0,0,1,0,"Endozoicomonas montiporae CL-33"
"571177",1,1,1,0,"Desulfosarcina alkanivorans"
"572479",0,1,1,1,"Halanaerobium praevalens DSM 2228"
"572544",1,1,1,0,"Ilyobacter polytropus DSM 2926"
"572547",0,0,1,0,"Aminobacterium colombiense DSM 12261"
"573413",1,0,1,0,"Sediminispirochaeta smaragdinae DSM 11293"
"573570",0,1,0,0,"Francisella uliginis"
"574087",1,0,0,1,"Acetohalobium arabaticum DSM 5501"
"575540",0,0,1,0,"Isosphaera pallida ATCC 43644"
"575788",1,0,0,0,"Vibrio tasmaniensis LGP32"
"580327",1,0,1,0,"Thermoanaerobacterium thermosaccharolyticum DSM 571"
"580331",0,0,1,0,"Thermoanaerobacter italicus Ab9"
"580340",1,1,1,0,"Thermovirga lienii DSM 17291"
"582402",0,0,1,1,"Hirschia baltica ATCC 49814"
"583355",0,0,1,1,"Coraliomargarita akajimensis DSM 45221"
"583358",0,0,1,0,"Thermoanaerobacter mathranii subsp. mathranii str. A3"
"584708",0,0,1,1,"Aminomonas paucivorans DSM 12260"
"585455",0,0,1,0,"Thiohalobacter thiocyanaticus"
"585529",0,0,1,0,"Corynebacterium genitalium ATCC 33030"
"588932",0,0,1,0,"Brevundimonas naejangsanensis"
"589382",1,0,0,0,"Agromyces flavus"
"589865",1,0,1,0,"Desulfurivibrio alkaliphilus AHT 2"
"591001",1,0,1,0,"Acidaminococcus fermentans DSM 20731"
"592022",0,0,1,0,"Bacillus megaterium DSM 319"
"592029",0,0,1,0,"Nonlabens dokdonensis DSW-6"
"592316",1,1,0,0,"Pantoea sp. At-9b"
"595536",0,0,1,0,"Methylosinus trichosporium OB3b"
"598659",1,0,0,0,"Nautilia profundicola AmH"
"604354",0,0,1,0,"Thermococcus sibiricus MM 739"
"621376",0,1,1,0,"Pseudoalteromonas donghaensis"
"626939",0,0,1,0,"Phascolarctobacterium succinatutens YIT 12067"
"630515",0,0,1,0,"Microlunatus soli"
"631220",0,1,1,0,"Desulfovibrio sp. G11"
"632292",0,0,1,0,"Caldicellulosiruptor hydrothermalis 108"
"632516",1,0,1,0,"Caldicellulosiruptor lactoaceticus 6A"
"632518",1,0,1,0,"Caldicellulosiruptor owensensis OL"
"632773",0,0,1,0,"Bacillus beveridgei"
"633147",1,0,1,1,"Olsenella uli DSM 7084"
"633149",0,0,1,0,"Brevundimonas subvibrioides ATCC 15264"
"634498",0,0,1,0,"Methanobrevibacter ruminantium M1"
"635013",0,0,1,0,"Thermincola potens JR"
"637910",0,0,1,0,"Citrobacter rodentium ICC168"
"638303",1,0,1,0,"Thermocrinis albus DSM 14484"
"639200",0,1,0,0,"Sphaerotilus natans subsp. sulfidivorans"
"639310",0,1,1,0,"Olleya aquimaris"
"640030",1,0,0,0,"Neisseria zalophi"
"640132",0,0,1,0,"Segniliparus rotundus DSM 44985"
"641147",0,0,1,0,"Simonsiella muelleri ATCC 29453"
"641491",0,1,1,0,"Desulfovibrio desulfuricans ND132"
"642780",1,0,1,1,"Marmoricola scoriae"
"643214",1,1,0,0,"Staphylococcus stepanovicii"
"643562",1,1,1,0,"Pseudodesulfovibrio aespoeensis Aspo-2"
"643648",1,0,1,1,"Syntrophothermus lipocalidus DSM 12680"
"643867",1,0,1,1,"Marivirga tractuosa DSM 4126"
"644295",1,0,0,0,"Methanohalobium evestigatum Z-7303"
"644652",1,1,1,0,"Gordonibacter"
"644966",1,1,1,0,"Thermaerobacter marianensis DSM 12885"
"645517",0,0,0,1,"Altererythrobacter namhicola"
"646637",0,0,1,0,"Streptomyces sp. M2"
"648757",0,1,1,1,"Rhodomicrobium vannielii ATCC 17100"
"648996",1,0,1,0,"Thermovibrio ammonificans HB-1"
"649196",1,0,0,0,"Sphingobacterium hotanense"
"649638",1,1,1,0,"Truepera radiovictrix DSM 17093"
"649831",0,0,1,0,"Actinoplanes sp. N902-109"
"651182",1,0,1,1,"Desulfobacula toluolica Tol2"
"652764",0,0,1,0,"Azospirillum sp. TSH100"
"653733",0,0,1,0,"Desulfurispirillum indicum S5"
"655015",0,0,1,0,"Methylocystis bryophila"
"655813",0,0,1,0,"Streptococcus oralis ATCC 35037"
"655815",1,0,0,1,"Zunongwangia profunda SM-A87"
"656024",0,0,1,1,"Frankia symbiont of Datisca glomerata"
"656179",0,1,1,0,"Pandoraea faecigallinarum"
"656366",0,0,1,0,"Arthrobacter alpinus"
"656519",1,0,0,1,"Halanaerobium hydrogeniformans"
"657308",1,1,1,0,"Gordonibacter pamelaeae 7-10-1-b"
"658445",0,0,1,1,"Photobacterium gaetbulicola Gung47"
"661478",1,0,0,0,"Fimbriimonas ginsengisoli Gsoil 348"
"661481",1,0,1,0,"Flavisolibacter ginsenosidimutans"
"661488",0,0,1,0,"Pseudobacter ginsenosidimutans"
"662755",0,0,1,0,"Corynebacterium resistens DSM 45100"
"663364",0,0,1,0,"Arcobacter bivalviorum"
"664962",0,0,1,0,"Azospirillum sp. TSH58"
"665571",0,0,1,0,"Spirochaeta thermophila DSM 6192"
"665914",1,0,1,0,"Mixta gaviniae"
"666685",1,0,0,0,"Rhodanobacter denitrificans"
"666686",1,0,1,0,"Bacillus sp. 1NLA3E"
"667014",0,0,1,0,"Thermodesulfatator indicus DSM 15286"
"669041",1,0,1,0,"Tenacibaculum dicentrarchi"
"669357",0,0,1,0,"Geminocystis"
"670307",0,0,1,0,"Hyphomicrobium denitrificans 1NES1"
"670487",1,0,0,0,"Oceanithermus profundus DSM 14977"
"670516",1,0,0,0,"Mycobacteroides"
"674703",0,1,0,0,"Rhodoplanes sp. Z2-YC6860"
"675635",1,0,1,1,"Pseudonocardia dioxanivorans CB1190"
"675864",0,0,1,0,"Auraticoccus monumenti"
"680279",0,0,1,1,"Agarivorans gilvus"
"682795",0,0,1,0,"Granulicella mallensis MP5ACTX8"
"682798",0,0,1,0,"Chitinolyticbacter meiyuanensis"
"682998",0,0,1,1,"Azospirillum sp. M2T2B2"
"683083",0,1,0,0,"Campylobacter jejuni subsp. jejuni 414"
"684552",1,1,1,0,"Agrococcus carbonis"
"685565",1,0,1,0,"Pseudanabaena sp. ABRG5-3"
"686340",0,0,1,0,"Methylomicrobium album BG8"
"688270",1,0,1,0,"Cellulophaga algicola DSM 14237"
"690850",0,1,1,1,"Desulfocurvibacter africanus subsp. africanus str. Walvis Bay"
"693272",0,1,0,0,"Cafeteria roenbergensis virus BV-PW1"
"693444",1,0,0,0,"Enterobacteriaceae bacterium strain FGI 57"
"693661",1,1,0,1,"Archaeoglobus veneficus SNP6"
"694430",0,0,0,1,"Natronococcus occultus SP4"
"694431",0,0,1,0,"Desulfurella acetivorans A63"
"696485",0,0,1,0,"Vibrio owensii"
"698758",1,0,0,0,"Amphibacillus xylanus NBRC 15112"
"698761",1,0,0,0,"Rhizobium tropici CIAT 899"
"698762",1,0,1,1,"Thermanaeromonas toyohensis ToBE"
"698828",0,0,1,0,"Kushneria konosiri"
"698948",1,0,1,1,"Thermoanaerobacterium thermosaccharolyticum M0795"
"698973",0,1,1,0,"Corynebacterium diphtheriae BH8"
"700015",0,0,1,1,"Coriobacterium glomerans PW2"
"700598",1,0,0,0,"Niastella koreensis GR20-10"
"702114",0,0,1,0,"Methylomonas koyamae"
"702459",0,0,0,1,"Bifidobacterium bifidum PRL2010"
"706439",0,0,1,0,"Actinomyces sp. oral taxon 171 str. F0337"
"706587",1,0,1,0,"Desulfomonile tiedjei DSM 6799"
"708126",1,0,1,1,"Jeotgalibaca dankookensis"
"709883",0,0,1,0,"Micromonospora zamorensis"
"709986",1,0,1,0,"Deinococcus maricopensis DSM 21211"
"710111",1,0,1,0,"Frankia sp. QA3"
"712122",0,0,1,0,"Actinomyces sp. oral taxon 414"
"712270",0,0,1,0,"Dietzia sp. oral taxon 368"
"712357",1,0,1,0,"Leptotrichia sp. oral taxon 212"
"712411",1,0,1,0,"Olsenella sp. oral taxon 807"
"712528",1,0,1,0,"Selenomonas sp. oral taxon 126"
"713030",1,0,1,0,"Selenomonas sp. oral taxon 136"
"714943",0,0,1,0,"Mucilaginibacter paludis DSM 18603"
"715451",0,0,1,0,"Alteromonas naphthalenivorans"
"716816",1,0,1,0,"Oceanicoccus sagamiensis"
"717231",0,1,1,1,"Flexistipes sinusarabici DSM 4947"
"717772",1,0,0,0,"Thiomicrospira aerophila AL3"
"718192",1,0,0,0,"Litorilituus sediminis"
"722472",0,0,1,0,"Bradyrhizobium lablabi"
"722731",1,0,1,0,"Mycobacterium shigaense"
"743718",0,1,1,1,"Isoptericola variabilis 225"
"743722",0,1,0,0,"Sphingobacterium sp. 21"
"744872",1,0,1,1,"Treponema caldarium DSM 7334"
"745277",1,0,0,0,"Rahnella aquatilis CIP 78.65 = ATCC 33071"
"745776",1,0,1,0,"Deinococcus gobiensis I-0"
"748003",1,0,0,0,"Vibrio vulnificus VVyb1(BT3)"
"748247",0,0,1,0,"Azoarcus sp. KH32C"
"748280",0,0,1,0,"Pseudogulbenkiania sp. NH8B"
"748449",1,0,0,0,"Halobacteroides halobius DSM 5150"
"749414",1,0,1,0,"Streptomyces bingchenggensis BCW-1"
"754417",0,0,1,0,"Winogradskyella sp. PC-19"
"754429",0,0,1,1,"Gilvibacter sp. SZ-19"
"754476",0,0,1,0,"Methylophaga nitratireducenticrescens"
"755731",1,0,1,0,"Clostridium sp. BNL1100"
"756280",1,0,0,0,"Cellulophaga phage phiSM"
"756499",1,0,1,0,"Desulfitobacterium dehalogenans ATCC 51507"
"756892",1,0,0,1,"Acinetobacter indicus"
"759620",0,0,0,1,"Weissella ceti"
"759914",1,0,0,1,"Brachyspira pilosicoli 95/1000"
"760011",0,0,1,0,"Sphaerochaeta coccoides DSM 17374"
"760142",0,0,1,0,"Hippea maritima DSM 10411"
"760192",0,1,1,1,"Haliscomenobacter hydrossis DSM 1100"
"762903",0,0,1,0,"Pseudopedobacter saltans DSM 12145"
"765911",0,0,1,0,"Thiocystis violascens DSM 198"
"765912",0,0,1,0,"Thioflavicoccus mobilis 8321"
"767031",1,0,1,1,"Prevotella denticola F0289"
"767452",0,0,1,0,"Serinicoccus chungangensis"
"768066",1,0,1,0,"Halomonas elongata DSM 2581"
"768486",1,0,1,0,"Enterococcus hirae ATCC 9790"
"768507",1,0,1,0,"Cytophagales"
"768700",0,0,0,1,"Mycoplasma suis str. Illinois"
"768704",1,0,1,0,"Desulfosporosinus meridiei DSM 13257"
"768706",1,0,1,1,"Desulfosporosinus orientis DSM 765"
"796606",1,0,0,1,"Bacillus methanolicus MGA3"
"797277",0,0,1,0,"Pseudomonas litoralis"
"797299",0,0,1,1,"Halostagnicola larsenii XH-48"
"857417",0,1,0,1,"Janibacter indicus"
"858619",0,0,1,0,"Corynebacterium variabile DSM 44702"
"859143",1,0,0,0,"Bacillus kochii"
"859653",0,1,1,1,"alpha proteobacterium HIMB5"
"861109",0,1,0,0,"Sphingobium indicum B90A"
"861299",1,0,1,0,"Gemmatirosa kalamazoonesis"
"862126",0,0,1,0,"Mucilaginibacter ginsenosidivorax"
"862751",0,0,1,0,"Streptomyces sp. SirexAA-E"
"862908",1,0,1,0,"Halobacteriovorax marinus SJ"
"862962",0,0,1,0,"Bacteroides fragilis 638R"
"863365",0,0,1,0,"Xanthomonas hortorum pv. carotae str. M081"
"864051",0,1,0,0,"Burkholderiales bacterium JOSHI_001"
"864564",1,0,0,0,"Parascardovia denticolens DSM 10105 = JCM 12538"
"864702",1,0,0,0,"Oscillatoriales cyanobacterium JSC-12"
"864828",0,0,1,0,"Massilia umbonata"
"866536",1,0,1,0,"Belliella baltica DSM 15883"
"867076",1,0,0,0,"Paenibacillus sp. IHB B 3084"
"868864",1,1,0,0,"Desulfurobacterium thermolithotrophum DSM 11699"
"869209",1,0,1,1,"Treponema succinifaciens DSM 2489"
"869210",1,1,0,1,"Marinithermus hydrothermalis DSM 14884"
"869212",1,1,1,0,"Turneriella parva DSM 21527"
"871742",1,0,1,0,"Massilia flava"
"875170",0,0,1,0,"Celeribacter"
"875328",0,0,1,0,"Mycolicibacter sinensis"
"878220",0,0,1,0,"Chryseobacterium sp. StRB126"
"879212",1,0,0,0,"Desulfobacter postgatei 2ac9"
"880070",1,0,1,0,"Cyclobacterium marinum DSM 745"
"880072",1,0,1,0,"Desulfobacca acetoxidans DSM 11109"
"880073",1,0,1,0,"Caldithrix abyssi DSM 13497"
"881260",0,0,1,0,"Enterobacter bugandensis"
"882081",1,0,1,0,"Saccharomonospora azurea NA-128"
"882082",1,0,0,1,"Saccharomonospora cyanea NA-134"
"882378",0,0,1,0,"Paraburkholderia rhizoxinica HKI 454"
"885272",1,0,1,0,"Jonquetella anthropi DSM 22815"
"886377",1,0,0,0,"Muricauda ruestringensis DSM 13258"
"888827",1,0,0,0,"Arcobacter butzleri JV22"
"888845",0,0,1,0,"Minicystis rosea"
